txn_id,customer_id,date,amount,category,channel
T012562,C0181,2026-01-01,-7.46,subscription,direct_debit
T012705,C0183,2026-01-01,-21.24,transport,card
T012815,C0185,2026-01-01,-46.4,groceries,card
T013205,C0190,2026-01-01,-56.97,retail,card
T013304,C0191,2026-01-01,-47.44,dining,card
T013325,C0192,2026-01-01,-25.06,transport,card
T013420,C0193,2026-01-01,-21.97,subscription,direct_debit
T013522,C0195,2026-01-01,-30.5,transport,card
T013531,C0195,2026-01-01,-17.68,groceries,card
T000004,C0001,2026-01-02,-63.79,groceries,card
T000088,C0002,2026-01-02,-18.29,transport,card
T000330,C0006,2026-01-02,-170.63,utilities,direct_debit
T000448,C0008,2026-01-02,-109.58,utilities,direct_debit
T000738,C0012,2026-01-02,-265.44,transfer_out,app_transfer
T000799,C0013,2026-01-02,-33.77,dining,card
T001048,C0017,2026-01-02,-180.78,utilities,direct_debit
T001050,C0017,2026-01-02,-278.57,transfer_out,app_transfer
T001130,C0018,2026-01-02,-29.06,transport,card
T001204,C0019,2026-01-02,-17.09,transport,card
T001313,C0020,2026-01-02,-76.84,groceries,card
T001348,C0021,2026-01-02,-10.73,transport,card
T001577,C0024,2026-01-02,4017.38,salary,inbound_transfer
T001582,C0024,2026-01-02,-80.46,retail,card
T001733,C0026,2026-01-02,-117.45,retail,card
T002136,C0031,2026-01-02,-81.85,cash_withdrawal,atm
T002151,C0031,2026-01-02,-16.08,subscription,direct_debit
T002405,C0035,2026-01-02,-32.64,cash_withdrawal,atm
T002742,C0040,2026-01-02,-38.22,utilities,direct_debit
T003055,C0045,2026-01-02,-26.07,retail,card
T003110,C0046,2026-01-02,-75.71,groceries,card
T003111,C0046,2026-01-02,-61.04,groceries,card
T003270,C0048,2026-01-02,-94.23,transfer_out,app_transfer
T003586,C0052,2026-01-02,-49.93,groceries,card
T003841,C0055,2026-01-02,-316.09,transfer_out,app_transfer
T003912,C0056,2026-01-02,4015.26,salary,inbound_transfer
T003923,C0056,2026-01-02,-26.12,retail,card
T003990,C0057,2026-01-02,-54.4,dining,card
T004191,C0062,2026-01-02,-19.83,transport,card
T004339,C0064,2026-01-02,-145.3,utilities,direct_debit
T004411,C0065,2026-01-02,-57.51,dining,card
T004476,C0066,2026-01-02,-18.98,transport,card
T004554,C0067,2026-01-02,-17.75,subscription,direct_debit
T004556,C0067,2026-01-02,-91.02,groceries,card
T004666,C0069,2026-01-02,3774.51,salary,inbound_transfer
T004680,C0069,2026-01-02,-8.42,transport,card
T004755,C0070,2026-01-02,-138.68,transfer_out,app_transfer
T004918,C0072,2026-01-02,-155.04,transfer_out,app_transfer
T005066,C0074,2026-01-02,-10.06,subscription,direct_debit
T005782,C0083,2026-01-02,1573.48,salary,inbound_transfer
T005976,C0086,2026-01-02,-21.75,dining,card
T006433,C0092,2026-01-02,-25.15,transport,card
T006852,C0097,2026-01-02,-41.82,groceries,card
T006912,C0098,2026-01-02,-239.52,transfer_out,app_transfer
T007104,C0101,2026-01-02,-86.19,groceries,card
T007234,C0104,2026-01-02,-19.46,transport,card
T007288,C0105,2026-01-02,-73.13,cash_withdrawal,atm
T007399,C0108,2026-01-02,1325.97,salary,inbound_transfer
T007625,C0111,2026-01-02,-85.23,groceries,card
T007849,C0114,2026-01-02,-36.63,retail,card
T008103,C0118,2026-01-02,-41.46,groceries,card
T008458,C0124,2026-01-02,-27.16,transport,card
T008530,C0125,2026-01-02,-115.99,retail,card
T008696,C0127,2026-01-02,-44.11,dining,card
T008934,C0130,2026-01-02,-49.05,retail,card
T009181,C0133,2026-01-02,-21.99,cash_withdrawal,atm
T009275,C0134,2026-01-02,-18.21,transport,card
T009374,C0135,2026-01-02,-8.58,subscription,direct_debit
T009609,C0139,2026-01-02,-91.7,groceries,card
T009775,C0142,2026-01-02,3169.18,salary,inbound_transfer
T009881,C0143,2026-01-02,2220.7,salary,inbound_transfer
T009938,C0144,2026-01-02,-8.98,transport,card
T010391,C0151,2026-01-02,-54.14,groceries,card
T010501,C0152,2026-01-02,-30.62,cash_withdrawal,atm
T010806,C0156,2026-01-02,-301.63,transfer_out,app_transfer
T010892,C0157,2026-01-02,-133.97,utilities,direct_debit
T011377,C0164,2026-01-02,-49.55,retail,card
T011380,C0164,2026-01-02,-86.54,groceries,card
T011586,C0167,2026-01-02,-9.83,subscription,direct_debit
T011669,C0168,2026-01-02,-21.93,transport,card
T012004,C0172,2026-01-02,-228.21,transfer_out,app_transfer
T012011,C0172,2026-01-02,-97.52,cash_withdrawal,atm
T012047,C0173,2026-01-02,-22.03,groceries,card
T012092,C0174,2026-01-02,-16.31,subscription,direct_debit
T012390,C0178,2026-01-02,-26.03,transport,card
T012444,C0179,2026-01-02,-91.92,retail,card
T012818,C0185,2026-01-02,-10.91,transport,card
T013305,C0191,2026-01-02,-34.27,cash_withdrawal,atm
T013498,C0194,2026-01-02,-28.12,dining,card
T013831,C0199,2026-01-02,2831.46,salary,inbound_transfer
T000134,C0003,2026-01-03,-51.28,groceries,card
T000194,C0004,2026-01-03,-56.25,dining,card
T000199,C0004,2026-01-03,-78.68,groceries,card
T000272,C0005,2026-01-03,-58.54,dining,card
T000317,C0006,2026-01-03,3701.27,salary,inbound_transfer
T000425,C0007,2026-01-03,-42.03,utilities,direct_debit
T000636,C0011,2026-01-03,-17.07,groceries,card
T000735,C0012,2026-01-03,-25.92,subscription,direct_debit
T000863,C0014,2026-01-03,-16.24,dining,card
T001308,C0020,2026-01-03,1590.33,salary,inbound_transfer
T001350,C0021,2026-01-03,-46.6,groceries,card
T001495,C0023,2026-01-03,-107.2,retail,card
T001587,C0024,2026-01-03,-16.01,dining,card
T001735,C0026,2026-01-03,-91.62,groceries,card
T001871,C0028,2026-01-03,-64.58,cash_withdrawal,atm
T001876,C0028,2026-01-03,-21.93,dining,card
T001964,C0029,2026-01-03,-34.14,groceries,card
T002141,C0031,2026-01-03,-86.93,groceries,card
T002303,C0033,2026-01-03,-381.3,transfer_out,app_transfer
T002335,C0034,2026-01-03,-127.25,retail,card
T002424,C0036,2026-01-03,-19.95,transport,card
T002590,C0038,2026-01-03,1806.46,salary,inbound_transfer
T003018,C0044,2026-01-03,-53.13,groceries,card
T003365,C0050,2026-01-03,-180.22,transfer_out,app_transfer
T003471,C0051,2026-01-03,2421.18,salary,inbound_transfer
T003474,C0051,2026-01-03,-57.65,retail,card
T003481,C0051,2026-01-03,-43.78,retail,card
T003484,C0051,2026-01-03,-52.67,retail,card
T003774,C0054,2026-01-03,-20.51,dining,card
T003776,C0054,2026-01-03,-59.31,groceries,card
T003780,C0054,2026-01-03,-129.19,retail,card
T003984,C0057,2026-01-03,-30.77,transport,card
T003992,C0057,2026-01-03,-43.47,dining,card
T004085,C0060,2026-01-03,-122.73,retail,card
T004192,C0062,2026-01-03,-79.34,retail,card
T004329,C0064,2026-01-03,2333.89,salary,inbound_transfer
T004342,C0064,2026-01-03,-16.39,transport,card
T004674,C0069,2026-01-03,-281.62,transfer_out,app_transfer
T004921,C0072,2026-01-03,-107.23,transfer_out,app_transfer
T005070,C0074,2026-01-03,-377.59,transfer_out,app_transfer
T005266,C0076,2026-01-03,-91.71,groceries,card
T005340,C0077,2026-01-03,-114.67,utilities,direct_debit
T006068,C0087,2026-01-03,-17.27,transport,card
T006105,C0088,2026-01-03,-11.99,subscription,direct_debit
T006428,C0092,2026-01-03,-16.53,transport,card
T006595,C0094,2026-01-03,-72.83,transfer_out,app_transfer
T006760,C0096,2026-01-03,-116.42,retail,card
T007094,C0101,2026-01-03,-362.4,transfer_out,app_transfer
T007280,C0105,2026-01-03,-50.13,dining,card
T007402,C0108,2026-01-03,-55.04,groceries,card
T007572,C0110,2026-01-03,-70.09,groceries,card
T007848,C0114,2026-01-03,-369.72,transfer_out,app_transfer
T007955,C0116,2026-01-03,-49.32,dining,card
T008105,C0118,2026-01-03,-46.94,dining,card
T008106,C0118,2026-01-03,-67.35,groceries,card
T008415,C0123,2026-01-03,2919.18,salary,inbound_transfer
T008420,C0123,2026-01-03,-66.99,groceries,card
T008426,C0123,2026-01-03,-32.51,dining,card
T008772,C0128,2026-01-03,2277.14,salary,inbound_transfer
T009075,C0132,2026-01-03,-101.63,cash_withdrawal,atm
T009533,C0138,2026-01-03,-48.23,retail,card
T009712,C0141,2026-01-03,-12.58,subscription,direct_debit
T009934,C0144,2026-01-03,-22.96,transport,card
T010142,C0148,2026-01-03,-205.94,transfer_out,app_transfer
T010145,C0148,2026-01-03,-113.31,utilities,direct_debit
T010816,C0156,2026-01-03,-6.77,transport,card
T011068,C0160,2026-01-03,-128.72,transfer_out,app_transfer
T011093,C0161,2026-01-03,-31.88,dining,card
T011106,C0161,2026-01-03,-29.15,transport,card
T011222,C0162,2026-01-03,-61.74,groceries,card
T011441,C0165,2026-01-03,-16.9,dining,card
T011948,C0171,2026-01-03,-23.81,subscription,direct_debit
T012096,C0174,2026-01-03,-19.37,subscription,direct_debit
T012193,C0175,2026-01-03,-67.47,groceries,card
T012548,C0181,2026-01-03,-53.88,dining,card
T012552,C0181,2026-01-03,-11.94,dining,card
T012617,C0182,2026-01-03,-10.44,subscription,direct_debit
T012787,C0184,2026-01-03,-83.23,groceries,card
T012793,C0184,2026-01-03,-24.11,retail,card
T012982,C0187,2026-01-03,-28.02,groceries,card
T013136,C0189,2026-01-03,-5.11,subscription,direct_debit
T013138,C0189,2026-01-03,-67.2,retail,card
T013213,C0190,2026-01-03,-25.11,transport,card
T013324,C0192,2026-01-03,882.22,salary,inbound_transfer
T013524,C0195,2026-01-03,-92.89,cash_withdrawal,atm
T013664,C0197,2026-01-03,-89.24,groceries,card
T000326,C0006,2026-01-04,-75.93,groceries,card
T000333,C0006,2026-01-04,-122.71,utilities,direct_debit
T000447,C0008,2026-01-04,-117.06,retail,card
T000514,C0009,2026-01-04,-243.85,transfer_out,app_transfer
T000854,C0014,2026-01-04,1277.1,salary,inbound_transfer
T000861,C0014,2026-01-04,-26.87,dining,card
T000905,C0015,2026-01-04,-362.98,transfer_out,app_transfer
T000909,C0015,2026-01-04,-40.67,dining,card
T000968,C0016,2026-01-04,-14.0,transport,card
T001043,C0017,2026-01-04,1009.99,salary,inbound_transfer
T001044,C0017,2026-01-04,-54.76,dining,card
T001202,C0019,2026-01-04,-54.52,dining,card
T001306,C0020,2026-01-04,1217.67,salary,inbound_transfer
T001307,C0020,2026-01-04,1213.97,salary,inbound_transfer
T001687,C0025,2026-01-04,-96.7,cash_withdrawal,atm
T001880,C0028,2026-01-04,-8.24,transport,card
T002142,C0031,2026-01-04,-24.99,subscription,direct_debit
T002144,C0031,2026-01-04,-24.93,transport,card
T002148,C0031,2026-01-04,-65.19,groceries,card
T002301,C0033,2026-01-04,-50.99,groceries,card
T002336,C0034,2026-01-04,-35.25,groceries,card
T002340,C0034,2026-01-04,-56.06,retail,card
T002343,C0034,2026-01-04,-83.12,groceries,card
T002594,C0038,2026-01-04,-63.99,groceries,card
T003017,C0044,2026-01-04,-75.91,groceries,card
T003109,C0046,2026-01-04,-6.67,transport,card
T004018,C0058,2026-01-04,-27.39,groceries,card
T004288,C0063,2026-01-04,-21.35,subscription,direct_debit
T004549,C0067,2026-01-04,-18.17,transport,card
T004551,C0067,2026-01-04,-32.16,dining,card
T004673,C0069,2026-01-04,-67.32,retail,card
T004922,C0072,2026-01-04,-70.48,retail,card
T005063,C0074,2026-01-04,-23.82,subscription,direct_debit
T005349,C0077,2026-01-04,-70.93,groceries,card
T005658,C0081,2026-01-04,-19.5,transport,card
T005663,C0081,2026-01-04,-6.5,subscription,direct_debit
T005793,C0083,2026-01-04,-11.46,transport,card
T005886,C0085,2026-01-04,-35.23,groceries,card
T005981,C0086,2026-01-04,-20.66,transport,card
T006108,C0088,2026-01-04,-7.23,transport,card
T006425,C0092,2026-01-04,4201.74,salary,inbound_transfer
T006592,C0094,2026-01-04,-44.33,dining,card
T007969,C0116,2026-01-04,-12.68,dining,card
T008266,C0120,2026-01-04,-22.69,transport,card
T008396,C0122,2026-01-04,-24.73,retail,card
T008400,C0122,2026-01-04,-6.37,subscription,direct_debit
T008417,C0123,2026-01-04,-45.43,retail,card
T008534,C0125,2026-01-04,-12.0,transport,card
T008699,C0127,2026-01-04,-89.56,groceries,card
T008933,C0130,2026-01-04,-73.39,transfer_out,app_transfer
T009184,C0133,2026-01-04,-196.56,transfer_out,app_transfer
T009608,C0139,2026-01-04,-23.6,transport,card
T009614,C0139,2026-01-04,-42.0,retail,card
T010122,C0147,2026-01-04,-5.92,subscription,direct_debit
T010222,C0149,2026-01-04,-65.45,groceries,card
T010293,C0150,2026-01-04,-40.46,dining,card
T010385,C0151,2026-01-04,-18.76,dining,card
T010730,C0155,2026-01-04,-62.01,utilities,direct_debit
T010891,C0157,2026-01-04,-53.52,groceries,card
T011020,C0159,2026-01-04,-36.38,retail,card
T011072,C0160,2026-01-04,-94.96,transfer_out,app_transfer
T011219,C0162,2026-01-04,-284.73,transfer_out,app_transfer
T011439,C0165,2026-01-04,-169.58,utilities,direct_debit
T011451,C0165,2026-01-04,-55.78,groceries,card
T011577,C0167,2026-01-04,-366.11,transfer_out,app_transfer
T011584,C0167,2026-01-04,-131.71,retail,card
T011782,C0169,2026-01-04,-85.37,groceries,card
T012014,C0172,2026-01-04,-36.19,dining,card
T012046,C0173,2026-01-04,-49.6,retail,card
T012191,C0175,2026-01-04,-51.24,dining,card
T012445,C0179,2026-01-04,-76.42,groceries,card
T012610,C0182,2026-01-04,-80.89,groceries,card
T012987,C0187,2026-01-04,-66.17,utilities,direct_debit
T013327,C0192,2026-01-04,-36.6,cash_withdrawal,atm
T013523,C0195,2026-01-04,-57.37,groceries,card
T013564,C0196,2026-01-04,-172.47,utilities,direct_debit
T000005,C0001,2026-01-05,-350.32,transfer_out,app_transfer
T000205,C0004,2026-01-05,-29.9,groceries,card
T000583,C0010,2026-01-05,-177.85,transfer_out,app_transfer
T000906,C0015,2026-01-05,-46.56,groceries,card
T000966,C0016,2026-01-05,-54.26,groceries,card
T001047,C0017,2026-01-05,-202.35,transfer_out,app_transfer
T001201,C0019,2026-01-05,-53.38,utilities,direct_debit
T001500,C0023,2026-01-05,-129.1,transfer_out,app_transfer
T001585,C0024,2026-01-05,-104.61,cash_withdrawal,atm
T002042,C0030,2026-01-05,-13.72,transport,card
T002043,C0030,2026-01-05,-26.89,transport,card
T002135,C0031,2026-01-05,1432.43,salary,inbound_transfer
T002209,C0032,2026-01-05,-21.65,subscription,direct_debit
T002334,C0034,2026-01-05,-113.45,utilities,direct_debit
T002346,C0034,2026-01-05,-37.44,groceries,card
T002412,C0035,2026-01-05,-47.34,dining,card
T002426,C0036,2026-01-05,-217.09,transfer_out,app_transfer
T002490,C0037,2026-01-05,-15.11,transport,card
T002739,C0040,2026-01-05,-151.23,transfer_out,app_transfer
T002935,C0043,2026-01-05,-123.72,retail,card
T003196,C0047,2026-01-05,-18.37,subscription,direct_debit
T003483,C0051,2026-01-05,-308.85,transfer_out,app_transfer
T003669,C0053,2026-01-05,-13.77,subscription,direct_debit
T004171,C0061,2026-01-05,-25.69,groceries,card
T004198,C0062,2026-01-05,-29.44,dining,card
T004471,C0066,2026-01-05,3550.69,salary,inbound_transfer
T004608,C0068,2026-01-05,-59.74,retail,card
T004610,C0068,2026-01-05,-20.72,groceries,card
T004834,C0071,2026-01-05,-19.48,subscription,direct_debit
T004912,C0072,2026-01-05,858.98,salary,inbound_transfer
T005062,C0074,2026-01-05,4355.2,salary,inbound_transfer
T005065,C0074,2026-01-05,-6.48,transport,card
T005165,C0075,2026-01-05,-123.04,retail,card
T005171,C0075,2026-01-05,-78.39,retail,card
T005258,C0076,2026-01-05,-18.4,groceries,card
T005492,C0079,2026-01-05,-60.3,dining,card
T005654,C0081,2026-01-05,802.03,salary,inbound_transfer
T005783,C0083,2026-01-05,1432.03,salary,inbound_transfer
T005787,C0083,2026-01-05,-88.3,groceries,card
T005883,C0085,2026-01-05,-86.06,retail,card
T006106,C0088,2026-01-05,-183.25,transfer_out,app_transfer
T006209,C0089,2026-01-05,-17.1,groceries,card
T006382,C0091,2026-01-05,-72.21,retail,card
T006515,C0093,2026-01-05,2322.54,salary,inbound_transfer
T006688,C0095,2026-01-05,-31.59,dining,card
T007056,C0100,2026-01-05,-64.65,retail,card
T007230,C0104,2026-01-05,-108.37,cash_withdrawal,atm
T007330,C0106,2026-01-05,-36.95,dining,card
T007806,C0113,2026-01-05,-18.16,dining,card
T008347,C0121,2026-01-05,-24.56,transport,card
T008351,C0121,2026-01-05,-105.62,cash_withdrawal,atm
T008399,C0122,2026-01-05,-31.12,retail,card
T008422,C0123,2026-01-05,-169.83,transfer_out,app_transfer
T008706,C0127,2026-01-05,-140.87,utilities,direct_debit
T009007,C0131,2026-01-05,-86.05,groceries,card
T009279,C0134,2026-01-05,-56.99,dining,card
T009281,C0134,2026-01-05,-37.28,retail,card
T009378,C0135,2026-01-05,-6.2,subscription,direct_debit
T009381,C0135,2026-01-05,-54.4,dining,card
T009629,C0140,2026-01-05,-9.66,transport,card
T009787,C0142,2026-01-05,-116.39,retail,card
T009888,C0143,2026-01-05,-20.68,dining,card
T009971,C0145,2026-01-05,-5.96,transport,card
T010395,C0151,2026-01-05,-266.96,transfer_out,app_transfer
T011294,C0163,2026-01-05,-49.29,cash_withdrawal,atm
T011578,C0167,2026-01-05,-57.24,groceries,card
T011585,C0167,2026-01-05,-89.38,retail,card
T011997,C0172,2026-01-05,991.38,salary,inbound_transfer
T012394,C0178,2026-01-05,-52.5,dining,card
T012396,C0178,2026-01-05,-87.38,retail,card
T012508,C0180,2026-01-05,943.58,salary,inbound_transfer
T012558,C0181,2026-01-05,-233.71,transfer_out,app_transfer
T012790,C0184,2026-01-05,-5.21,subscription,direct_debit
T012795,C0184,2026-01-05,-18.75,dining,card
T012903,C0186,2026-01-05,-23.08,transport,card
T012908,C0186,2026-01-05,-361.85,transfer_out,app_transfer
T013052,C0188,2026-01-05,-98.87,retail,card
T013297,C0191,2026-01-05,-10.29,subscription,direct_debit
T013568,C0196,2026-01-05,-59.1,dining,card
T013766,C0198,2026-01-05,-36.7,groceries,card
T013837,C0199,2026-01-05,-33.62,dining,card
T013880,C0200,2026-01-05,-42.26,groceries,card
T000009,C0001,2026-01-06,-51.14,dining,card
T000010,C0001,2026-01-06,-112.32,transfer_out,app_transfer
T000903,C0015,2026-01-06,1010.93,salary,inbound_transfer
T001200,C0019,2026-01-06,-311.81,transfer_out,app_transfer
T001430,C0022,2026-01-06,-36.14,groceries,card
T001493,C0023,2026-01-06,-25.22,subscription,direct_debit
T001589,C0024,2026-01-06,-76.09,retail,card
T001729,C0026,2026-01-06,3973.88,salary,inbound_transfer
T001813,C0027,2026-01-06,-29.95,groceries,card
T002210,C0032,2026-01-06,-26.47,dining,card
T002487,C0037,2026-01-06,-134.31,utilities,direct_debit
T002652,C0039,2026-01-06,-32.7,cash_withdrawal,atm
T002854,C0042,2026-01-06,-52.42,dining,card
T003485,C0051,2026-01-06,-59.4,groceries,card
T003778,C0054,2026-01-06,-62.9,groceries,card
T004020,C0058,2026-01-06,-5.31,subscription,direct_debit
T004167,C0061,2026-01-06,-109.04,retail,card
T004168,C0061,2026-01-06,-68.08,retail,card
T004170,C0061,2026-01-06,-340.53,transfer_out,app_transfer
T004410,C0065,2026-01-06,-73.97,groceries,card
T004676,C0069,2026-01-06,-157.65,utilities,direct_debit
T004741,C0070,2026-01-06,2952.36,salary,inbound_transfer
T004749,C0070,2026-01-06,-76.67,retail,card
T005170,C0075,2026-01-06,-14.2,dining,card
T005172,C0075,2026-01-06,-84.85,groceries,card
T005436,C0078,2026-01-06,858.04,salary,inbound_transfer
T005854,C0084,2026-01-06,-92.82,cash_withdrawal,atm
T005855,C0084,2026-01-06,-34.63,groceries,card
T005858,C0084,2026-01-06,-19.86,subscription,direct_debit
T005876,C0085,2026-01-06,3366.85,salary,inbound_transfer
T005985,C0086,2026-01-06,-166.58,utilities,direct_debit
T006100,C0088,2026-01-06,-102.44,cash_withdrawal,atm
T006853,C0097,2026-01-06,-42.18,dining,card
T007060,C0100,2026-01-06,-75.39,groceries,card
T007119,C0102,2026-01-06,-75.53,retail,card
T007141,C0103,2026-01-06,2965.47,salary,inbound_transfer
T007147,C0103,2026-01-06,-90.66,groceries,card
T007150,C0103,2026-01-06,-54.6,dining,card
T007228,C0104,2026-01-06,-5.73,subscription,direct_debit
T007564,C0110,2026-01-06,-185.55,utilities,direct_debit
T007622,C0111,2026-01-06,-19.92,transport,card
T007889,C0115,2026-01-06,-128.71,retail,card
T008109,C0118,2026-01-06,-13.31,subscription,direct_debit
T008259,C0120,2026-01-06,1864.68,salary,inbound_transfer
T008264,C0120,2026-01-06,-26.11,dining,card
T009003,C0131,2026-01-06,1396.69,salary,inbound_transfer
T009079,C0132,2026-01-06,-89.13,cash_withdrawal,atm
T009178,C0133,2026-01-06,-81.03,groceries,card
T009423,C0136,2026-01-06,2684.42,salary,inbound_transfer
T009425,C0136,2026-01-06,-372.37,transfer_out,app_transfer
T009628,C0140,2026-01-06,868.38,salary,inbound_transfer
T009880,C0143,2026-01-06,1831.02,salary,inbound_transfer
T009959,C0145,2026-01-06,-19.93,transport,card
T009967,C0145,2026-01-06,-54.08,retail,card
T010494,C0152,2026-01-06,-53.03,groceries,card
T010651,C0154,2026-01-06,-74.45,retail,card
T010972,C0158,2026-01-06,-372.53,transfer_out,app_transfer
T010974,C0158,2026-01-06,-265.99,transfer_out,app_transfer
T011065,C0160,2026-01-06,-58.18,retail,card
T011066,C0160,2026-01-06,-28.31,retail,card
T011220,C0162,2026-01-06,-53.77,dining,card
T011293,C0163,2026-01-06,-24.99,subscription,direct_debit
T011376,C0164,2026-01-06,-177.89,utilities,direct_debit
T011512,C0166,2026-01-06,-283.97,transfer_out,app_transfer
T011677,C0168,2026-01-06,-60.33,groceries,card
T011941,C0171,2026-01-06,-58.31,dining,card
T011945,C0171,2026-01-06,-22.53,transport,card
T012789,C0184,2026-01-06,-20.6,transport,card
T012911,C0186,2026-01-06,-10.42,transport,card
T013045,C0188,2026-01-06,-45.87,retail,card
T013135,C0189,2026-01-06,959.83,salary,inbound_transfer
T013145,C0189,2026-01-06,-20.4,dining,card
T013414,C0193,2026-01-06,-8.66,subscription,direct_debit
T013569,C0196,2026-01-06,-193.87,transfer_out,app_transfer
T013765,C0198,2026-01-06,-226.7,transfer_out,app_transfer
T000086,C0002,2026-01-07,-87.22,cash_withdrawal,atm
T000276,C0005,2026-01-07,-35.6,groceries,card
T000278,C0005,2026-01-07,-130.1,transfer_out,app_transfer
T000279,C0005,2026-01-07,-66.26,retail,card
T000280,C0005,2026-01-07,-23.6,subscription,direct_debit
T000424,C0007,2026-01-07,-32.95,groceries,card
T000637,C0011,2026-01-07,-167.98,transfer_out,app_transfer
T000736,C0012,2026-01-07,-38.83,groceries,card
T000908,C0015,2026-01-07,-11.36,subscription,direct_debit
T001138,C0018,2026-01-07,-102.75,cash_withdrawal,atm
T001199,C0019,2026-01-07,-251.81,transfer_out,app_transfer
T001309,C0020,2026-01-07,-27.15,groceries,card
T001497,C0023,2026-01-07,-47.9,dining,card
T001583,C0024,2026-01-07,-22.47,dining,card
T002341,C0034,2026-01-07,-47.31,dining,card
T002598,C0038,2026-01-07,-43.57,retail,card
T002651,C0039,2026-01-07,-47.81,dining,card
T002653,C0039,2026-01-07,-255.51,transfer_out,app_transfer
T002784,C0041,2026-01-07,-44.89,dining,card
T002785,C0041,2026-01-07,-125.01,utilities,direct_debit
T003107,C0046,2026-01-07,-55.15,groceries,card
T003369,C0050,2026-01-07,-78.89,transfer_out,app_transfer
T003475,C0051,2026-01-07,-37.24,retail,card
T003478,C0051,2026-01-07,-56.84,dining,card
T003913,C0056,2026-01-07,-47.33,groceries,card
T003922,C0056,2026-01-07,-14.4,subscription,direct_debit
T004076,C0060,2026-01-07,-84.34,retail,card
